1	115	64
*	131	60
*	203	43
*	239	43
*	261	20
*	273	42
*	304	40
*	345	39
*	366	37
*	423	34
*	468	33
*	531	33
*	569	53
*	627	29
*	674	31
*	687	42
*	736	31
*	782	28
*	826	32
*	868	32
*	898	51
*	64	97
*	113	122
*	142	120
*	190	119
*	221	117
*	248	115
*	268	115
*	294	113
*	321	92
*	336	112
*	370	129
*	400	109
*	430	109
*	458	92
*	481	108
*	505	89
*	551	107
*	577	106
*	616	106
*	647	105
*	677	103
*	707	103
*	726	122
*	740	104
*	777	88
*	788	83
*	818	104
*	848	103
*	865	105
*	901	85
*	930	105
*	115	184
*	145	192
*	166	175
*	179	172
*	193	189
*	226	169
*	241	188
*	266	187
*	297	170
*	309	183
*	327	168
*	340	184
*	387	183
*	419	200
*	448	180
*	476	161
*	490	180
*	517	161
*	552	179
*	582	160
*	626	178
*	655	176
*	684	176
*	716	155
*	748	175
*	785	157
*	816	177
*	841	176
*	889	178
*	913	178
*	940	191
*	117	265
*	139	264
*	165	264
*	192	262
*	218	262
*	255	260
*	281	260
*	307	241
*	320	258
*	349	275
*	365	256
*	382	237
*	395	256
*	420	254
*	461	242
*	468	232
*	477	252
*	508	251
*	527	251
*	558	251
*	606	250
*	631	233
*	645	249
*	673	235
*	685	229
*	703	267
*	726	247
*	753	248
*	783	248
*	825	228
*	843	249
*	868	248
*	895	230
*	908	250
*	933	252
*	120	325
*	180	316
*	195	335
*	214	318
*	227	333
*	257	333
*	286	313
*	300	331
*	329	350
*	349	313
*	387	326
*	421	326
*	452	325
*	481	324
*	511	324
*	547	322
*	575	323
*	605	322
*	636	321
*	668	322
*	677	321
*	699	320
*	731	319
*	760	320
*	789	320
*	838	303
*	851	302
*	862	321
*	886	315
*	934	323
*	122	409
*	149	408
*	191	387
*	206	407
*	231	406
*	263	404
*	292	404
*	316	386
*	342	383
*	361	400
*	393	399
*	424	398
*	450	379
*	463	398
*	497	394
*	525	380
*	537	395
*	567	396
*	599	394
*	626	376
*	642	394
*	668	375
*	702	393
*	732	374
*	774	392
*	798	373
*	810	375
*	824	394
*	860	393
*	906	394
*	930	375
*	942	407
*	123	481
*	173	480
*	207	458
*	222	478
*	252	458
*	283	473
*	302	475
*	325	457
*	351	453
*	355	475
*	380	473
*	409	470
*	435	471
*	462	470
*	500	448
*	514	470
*	539	468
*	567	469
*	601	448
*	618	468
*	644	448
*	677	450
*	690	466
*	714	452
*	765	453
*	819	446
*	835	466
*	860	466
*	888	464
*	905	467
*	930	447
*	942	477
*	125	551
*	146	537
*	159	551
*	189	551
*	217	551
*	252	568
*	276	549
*	305	549
*	336	531
*	349	547
*	368	548
*	405	545
*	431	545
*	463	544
*	472	544
*	492	542
*	509	542
*	529	543
*	562	521
*	575	541
*	610	540
*	638	540
*	660	540
*	690	539
*	719	539
*	741	538
*	774	538
*	799	538
*	819	539
*	844	539
*	869	539
*	898	539
*	923	540
*	945	558
*	128	624
*	159	624
*	187	624
*	229	603
*	259	622
*	310	622
*	319	621
*	338	601
*	349	620
*	375	620
*	406	601
*	420	618
*	463	616
*	490	616
*	521	615
*	529	615
*	550	612
*	568	614
*	589	614
*	632	612
*	661	612
*	690	612
*	713	593
*	729	611
*	759	611
*	786	611
*	820	610
*	844	592
*	874	612
*	904	593
*	919	612
*	945	631
*	128	680
*	179	696
*	194	696
*	206	695
*	230	676
*	243	676
*	257	694
*	282	693
*	319	692
*	343	692
*	367	691
*	398	670
*	411	691
*	436	689
*	475	688
*	506	680
*	520	671
*	535	687
*	564	686
*	592	686
*	617	686
*	647	683
*	666	685
*	697	685
*	728	685
*	767	684
*	798	685
*	830	683
*	859	684
*	888	664
*	918	685
*	941	684
*	126	769
*	175	769
*	199	750
*	214	754
*	223	750
*	251	766
*	274	766
*	305	766
*	326	765
*	344	783
*	359	764
*	388	764
*	416	746
*	437	762
*	468	761
*	504	760
*	534	760
*	562	760
*	586	739
*	615	759
*	631	759
*	644	742
*	657	759
*	683	757
*	692	758
*	712	757
*	743	738
*	769	755
*	788	746
*	790	779
*	811	756
*	846	757
*	874	746
*	903	757
*	932	757
*	128	841
*	160	841
*	197	841
*	214	856
*	229	840
*	260	839
*	289	839
*	315	839
*	344	838
*	364	838
*	389	837
*	420	836
*	452	835
*	482	835
*	521	834
*	552	834
*	583	832
*	612	832
*	643	832
*	688	829
*	707	832
*	737	831
*	756	828
*	782	830
*	814	828
*	853	810
*	882	830
*	902	830
*	932	813
*	944	827
*	127	913
*	159	914
*	191	913
*	219	913
*	246	913
*	271	912
*	300	913
*	330	894
*	344	911
*	372	911
*	403	910
*	441	909
*	471	909
*	502	906
*	531	907
*	559	907
*	583	886
*	598	906
*	621	905
*	640	888
*	654	904
*	701	905
*	726	904
*	747	892
*	751	925
*	767	886
*	812	903
*	841	902
*	871	903
*	902	881
*	916	885
*	944	900
*	128	981
*	160	987
*	186	986
*	214	986
*	239	986
*	265	985
*	291	983
*	309	985
*	328	984
*	353	966
*	377	962
*	408	982
*	437	962
*	468	962
*	483	981
*	515	979
*	544	958
*	574	978
*	599	978
*	626	996
*	659	976
*	688	977
*	703	976
*	717	976
*	753	973
*	770	976
*	785	975
*	817	955
*	847	975
*	871	955
*	884	975
*	906	956
*	935	958
*	945	985
*	129	1059
*	151	1059
*	177	1058
*	198	1077
*	218	1058
*	247	1057
*	284	1038
*	300	1058
*	334	1038
*	365	1037
*	379	1056
*	404	1054
*	434	1054
*	457	1034
*	486	1053
*	514	1052
*	528	1051
*	541	1051
*	568	1033
*	598	1051
*	636	1050
*	661	1050
*	686	1048
*	704	1047
*	722	1049
*	769	1046
*	800	1047
*	829	1030
*	844	1046
*	861	1047
*	879	1031
*	893	1048
*	922	1047
*	947	1065
*	129	1130
*	161	1130
*	189	1131
*	228	1110
*	258	1130
*	283	1110
*	294	1128
*	323	1112
*	337	1127
*	354	1129
*	373	1099
*	399	1125
*	416	1127
*	463	1107
*	495	1125
*	521	1124
*	559	1104
*	576	1124
*	601	1122
*	626	1123
*	635	1122
*	644	1122
*	673	1122
*	696	1103
*	710	1104
*	723	1122
*	749	1120
*	796	1121
*	821	1120
*	851	1117
*	873	1139
*	897	1119
*	925	1119
*	950	1103
*	991	1126
*	132	1204
*	164	1204
*	193	1202
*	219	1202
*	249	1204
*	272	1202
*	292	1181
*	321	1201
*	358	1180
*	387	1187
*	398	1200
*	413	1199
*	425	1199
*	469	1197
*	516	1198
*	540	1178
*	554	1177
*	567	1177
*	595	1195
*	620	1194
*	648	1195
*	668	1195
*	693	1194
*	720	1194
*	758	1192
*	784	1175
*	801	1193
*	831	1192
*	877	1174
*	916	1192
*	940	1192
*	991	1174
*	132	1255
*	148	1276
*	168	1274
*	194	1276
*	213	1275
*	244	1256
*	276	1257
*	291	1257
*	334	1273
*	358	1272
*	388	1272
*	434	1251
*	463	1290
*	463	1271
*	474	1270
*	503	1270
*	522	1270
*	548	1269
*	578	1268
*	605	1267
*	622	1254
*	633	1268
*	659	1267
*	697	1267
*	722	1250
*	734	1248
*	747	1248
*	761	1266
*	786	1265
*	814	1265
*	833	1265
*	855	1283
*	879	1248
*	925	1264
*	950	1248
*	134	1348
*	164	1329
*	176	1348
*	209	1347
*	237	1348
*	262	1346
*	302	1346
*	311	1346
*	348	1342
*	373	1345
*	396	1326
*	425	1344
*	450	1344
*	477	1332
*	535	1342
*	560	1341
*	589	1341
*	618	1323
*	634	1340
*	664	1340
*	692	1337
*	711	1322
*	724	1339
*	750	1319
*	763	1338
*	789	1338
*	820	1337
*	845	1337
*	869	1338
*	888	1335
*	906	1338
*	930	1337
*	947	1355
*	135	1401
*	151	1421
*	193	1421
*	225	1420
*	256	1419
*	276	1419
*	307	1419
*	332	1418
*	376	1397
*	405	1403
*	416	1416
*	442	1416
*	472	1415
*	513	1396
*	545	1414
*	568	1395
*	583	1414
*	630	1392
*	660	1412
*	696	1392
*	727	1412
*	751	1409
*	767	1410
*	809	1409
*	839	1408
*	869	1409
*	896	1409
*	926	1409
*	947	1419
*	136	1492
*	168	1493
*	199	1477
*	212	1493
*	240	1492
*	271	1491
*	307	1470
*	321	1491
*	357	1489
*	385	1489
*	410	1489
*	439	1488
*	471	1488
*	496	1487
*	523	1468
*	529	1483
*	554	1487
*	586	1467
*	600	1485
*	636	1485
*	666	1485
*	690	1484
*	709	1482
*	727	1484
*	764	1464
*	794	1483
*	825	1463
*	841	1483
*	872	1482
*	907	1481
*	931	1481
*	950	1494
*	991	1470
*	137	1566
*	170	1565
*	196	1566
*	225	1565
*	244	1553
*	247	1585
*	261	1549
*	302	1563
*	327	1563
*	345	1562
*	372	1562
*	398	1561
*	427	1542
*	443	1561
*	475	1543
*	488	1558
*	505	1557
*	539	1540
*	552	1559
*	590	1556
*	638	1558
*	662	1557
*	694	1544
*	750	1556
*	776	1536
*	789	1554
*	813	1555
*	834	1538
*	846	1554
*	874	1538
*	886	1552
*	912	1553
*	937	1553
*	948	1554
*	139	1638
*	164	1638
*	190	1638
*	208	1636
*	226	1639
*	249	1618
*	271	1616
*	300	1636
*	333	1615
*	363	1635
*	388	1613
*	439	1633
*	465	1633
*	500	1631
*	549	1632
*	580	1631
*	610	1629
*	626	1616
*	667	1629
*	682	1610
*	713	1629
*	744	1628
*	764	1629
*	764	1648
*	776	1616
*	827	1611
*	870	1628
*	899	1626
*	918	1626
*	944	1626
